neuron_id,type
720575940621014292,sensor
720575940621939071,motor
720575940624201033,inter
720575940608193884,inter
720575940621618859,inter
720575940648669060,inter
720575940628168847,sensor
720575940624014483,inter
720575940624206472,inter
720575940618149686,sensor
720575940624706062,inter
720575940639121636,sensor
720575940612898161,sensor
720575940612319155,motor
720575940617496925,sensor
720575940630799042,inter
720575940628675433,motor
720575940632821059,sensor
720575940618291174,inter
720575940610397619,inter
720575940620263814,inter
720575940612635050,motor
720575940627720335,inter
720575940623366102,sensor
720575940631164476,sensor
720575940630916650,sensor
720575940637602650,sensor
720575940608362418,sensor
720575940630704211,sensor
720575940625732196,sensor
720575940622811400,sensor
720575940627677514,sensor
720575940626051367,sensor
720575940631618920,sensor
720575940617938752,sensor
720575940614832543,sensor
720575940637183454,sensor
720575940613791399,sensor
720575940613804259,sensor
720575940616169578,sensor
720575940610836885,sensor
720575940630077558,sensor
720575940618112310,sensor
720575940621551854,sensor
720575940618681168,sensor
720575940638559440,sensor
720575940626518302,sensor
720575940622792423,sensor
720575940634809455,sensor
720575940609406985,sensor
720575940631275181,sensor
720575940618021755,sensor
720575940604662700,sensor
720575940649154681,sensor
720575940625119625,sensor
720575940632803212,sensor
720575940635945919,sensor
720575940626681146,sensor
720575940625177836,sensor
720575940621500865,sensor
720575940629942343,sensor
720575940632505359,sensor
720575940626624275,sensor
720575940616642790,sensor
720575940623901695,sensor
720575940633372185,sensor
720575940617205179,sensor
720575940628142352,sensor
720575940613222835,sensor
720575940619007664,sensor
720575940624645818,sensor
720575940631423116,sensor
720575940636151391,sensor
720575940614944977,sensor
720575940631586858,sensor
720575940617140765,sensor
720575940625585508,sensor
720575940630251791,sensor
720575940622014090,sensor
720575940621778646,sensor
720575940625684057,sensor
720575940638022515,sensor
720575940623437838,sensor
720575940634962936,sensor
720575940621607093,sensor
720575940617910848,sensor
720575940614774434,sensor
720575940605078560,sensor
720575940608345778,sensor
720575940625772828,sensor
720575940625956483,sensor
720575940625630212,sensor
720575940613590501,sensor
720575940632403986,sensor
720575940652063734,sensor
720575940635092122,sensor
720575940637623780,sensor
720575940622625279,sensor
720575940644704160,sensor
720575940614618683,sensor
720575940660217473,sensor
720575940630864170,sensor
720575940630407388,sensor
720575940617441752,sensor
720575940605883569,sensor
720575940605758142,sensor
720575940618259766,sensor
720575940633294796,sensor
720575940641593051,sensor
720575940633831264,sensor
720575940646576436,sensor
720575940640541091,sensor
720575940610157688,sensor
720575940612991381,sensor
720575940632007983,sensor
720575940637510121,sensor
720575940617175965,sensor
720575940626074378,sensor
720575940635847269,sensor
720575940624435128,sensor
720575940620319085,sensor
720575940606267659,sensor
720575940640830453,sensor
720575940629589292,sensor
720575940611944914,sensor
720575940615073587,sensor
720575940631591199,sensor
720575940606722249,sensor
720575940634545890,sensor
720575940633625184,sensor
720575940609282825,sensor
720575940638128474,sensor
720575940617629270,sensor
720575940631566700,sensor
720575940606056905,sensor
720575940610680274,sensor
720575940623280311,sensor
720575940641609869,sensor
720575940619417620,sensor
720575940624012692,sensor
720575940626378242,sensor
720575940618561403,sensor
720575940616855225,sensor
720575940623146701,sensor
720575940614113682,sensor
720575940659844225,sensor
720575940641621645,sensor
720575940610426578,sensor
720575940620541349,sensor
720575940626030776,sensor
720575940614054802,sensor
720575940614956072,sensor
720575940620917707,sensor
720575940639892413,sensor
720575940625868440,sensor
720575940640803200,sensor
720575940623136717,sensor
720575940631704716,sensor
720575940615513086,sensor
720575940619954112,sensor
720575940638775118,sensor
720575940634385247,sensor
720575940628573519,sensor
720575940617249949,sensor
720575940632835688,sensor
720575940627390440,sensor
